Energy Loss (eV),Intensity (u.a.)
2.85E+01,1.43E+03
2.85E+01,1.60E+03
2.86E+01,1.53E+03
2.86E+01,1.58E+03
2.87E+01,1.53E+03
2.87E+01,1.47E+03
2.88E+01,1.55E+03
2.88E+01,1.46E+03
2.89E+01,1.49E+03
2.89E+01,1.49E+03
2.90E+01,1.42E+03
2.90E+01,1.48E+03
2.91E+01,1.48E+03
2.91E+01,1.53E+03
2.92E+01,1.49E+03
2.92E+01,1.51E+03
2.93E+01,1.41E+03
2.93E+01,1.52E+03
2.94E+01,1.53E+03
2.94E+01,1.55E+03
2.95E+01,1.53E+03
2.95E+01,1.50E+03
2.96E+01,1.44E+03
2.96E+01,1.50E+03
2.97E+01,1.57E+03
2.97E+01,1.51E+03
2.98E+01,1.50E+03
2.98E+01,1.48E+03
2.99E+01,1.51E+03
2.99E+01,1.42E+03
3.00E+01,1.42E+03
3.00E+01,1.56E+03
3.01E+01,1.45E+03
3.01E+01,1.48E+03
3.02E+01,1.47E+03
3.02E+01,1.52E+03
3.03E+01,1.47E+03
3.03E+01,1.47E+03
3.04E+01,1.50E+03
3.04E+01,1.49E+03
3.05E+01,1.49E+03
3.05E+01,1.55E+03
3.06E+01,1.46E+03
